1H: 43845 bars. Starting 2000 trial optimizer...
[STARTUP] Running 400 parallel trials...
[TPE] trial 1460/2000 | best_score=0.5380 | validated=118
[TPE] trial 1470/2000 | best_score=0.5380 | validated=118
[TPE] trial 1480/2000 | best_score=0.5380 | validated=118
[TPE] trial 1490/2000 | best_score=0.5380 | validated=118
[TPE] trial 1500/2000 | best_score=0.5380 | validated=118
[TPE] trial 1510/2000 | best_score=0.5380 | validated=118
[TPE] trial 1520/2000 | best_score=0.5380 | validated=118
[TPE] trial 1530/2000 | best_score=0.5380 | validated=118
[TPE] trial 1540/2000 | best_score=0.5380 | validated=118
[TPE] trial 1550/2000 | best_score=0.5380 | validated=118
[TPE] trial 1560/2000 | best_score=0.5380 | validated=118
[TPE] trial 1570/2000 | best_score=0.5380 | validated=118
[TPE] trial 1580/2000 | best_score=0.5380 | validated=118
[TPE] trial 1590/2000 | best_score=0.5380 | validated=118
[TPE] trial 1600/2000 | best_score=0.5380 | validated=118
[REFINE] Running 400 refinement trials...
[REFINE] trial 1610/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1620/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1630/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1640/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1650/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1660/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1670/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1680/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1690/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1700/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1710/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1720/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1730/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1740/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1750/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1760/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1770/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1780/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1790/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1800/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1810/2000 | best_score=0.5380 | validated=118
[REFINE] trial 1820/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1830/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1840/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1850/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1860/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1870/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1880/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1890/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1900/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1910/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1920/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1930/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1940/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1950/2000 | best_score=0.5383 | validated=22
[REFINE] trial 1960/2000 | best_score=0.5385 | validated=119
[REFINE] trial 1970/2000 | best_score=0.5385 | validated=119
[REFINE] trial 1980/2000 | best_score=0.5385 | validated=119
[REFINE] trial 1990/2000 | best_score=0.5385 | validated=119
[REFINE] trial 2000/2000 | best_score=0.5385 | validated=119

Done in 39235.6s (653.9 min)
Best OOS score: 0.5385
Validated states: 119
Trials: 2000

-- Group A --
  cvd_micro_window: 26
